testcase,bsc_type,bsc_tatekata,bsc_kyoshitsu_kousei,bsc_sonotakyoshitsu,bsc_hikyoshitsu,bsc_nobeyuka_menseki,bsc_shukyoshitsu_menseki,bsc_sonotakyoshitsu_menseki,env_chiki,bsc_solarlv_specify,bsc_solarlv,vn_houshiki,vn_duct_houhou,vn_duct_method,vn_duct_hishohidenryoku,vn_other_houhou,vn_other_hishohidenryoku,vn_freq,vn_e,hv_houshiki,hv_eff,hv_bal,hv_leak,E_V
換気A44,1,1,1,1,1,120.08,29.81,51.34,6,1,-,3,-,-,-,1,-,1,1,1,95,1.00,1.00,10004.06
換気A45,1,1,1,1,1,120.08,29.81,51.34,6,1,-,2,1,-,-,-,-,1,-,1,95,1.00,1.00,err
換気A46,1,1,1,1,1,120.08,29.81,51.34,6,1,-,4,-,-,-,1,-,1,-,1,95,1.00,1.00,err
換気A47,1,1,1,1,1,120.08,29.81,51.34,6,1,-,4,-,-,-,1,-,1,-,2,-,-,-,4583.32
換気A48,1,1,1,1,1,115,29.81,51.34,6,1,-,4,-,-,-,1,-,1,-,2,-,-,-,4389.79
換気A49,1,1,1,1,1,90,29.81,51.34,6,1,-,4,-,-,-,1,-,1,-,2,-,-,-,3435.7
換気A50,1,1,1,1,1,75,29.81,20,6,1,-,4,-,-,-,1,-,1,-,2,-,-,-,2863.01
換気A51,1,1,1,1,1,60,29.81,20,6,1,-,4,-,-,-,1,-,1,-,2,-,-,-,2290.32
換気A52,1,1,1,1,1,45,29.81,10,6,1,-,4,-,-,-,1,-,1,-,2,-,-,-,1717.81
換気A53,1,1,1,1,1,30,10,10,6,1,-,4,-,-,-,1,-,1,-,2,-,-,-,1145.3
換気A54,1,1,1,1,1,15,10,4,6,1,-,4,-,-,-,1,-,1,-,2,-,-,-,637.44
